wave,issue_id,person_id,related_id,issue_type,status,description,next_check
wave_02,B4W2I0006,P000067,C000230,PERIOD_UNKNOWN,HOLD,福岡第一高校在学は確認したが入学・卒業年月は未確認,学校または大会の年度別公式資料を確認
wave_02,B4W2I0007,P000067,C000231,CAREER_START_DATE,HOLD,リーグエントリー発表日は契約・所属開始日とは限らない,クラブ公式契約発表またはリーグ登録日を確認
wave_02,B4W2I0008,P000067,P000067,NATIONALITY_FIELD_LAYOUT,HOLD,B.LEAGUE表示の「リーグ登録国籍特別指定」は画面項目の結合とみられ国籍値に採用できない,国籍を明記した公式プロフィールが見つかった場合のみ追加
wave_03,B4W3I0001,P000068,C000232,HIGH_SCHOOL_ROLE_AND_PERIOD,HOLD,専修大学公式は福岡第一高出身を示すが、高校部での役割と期間は直接示さない,高校大会公式ロスターを確認
wave_03,B4W3I0002,P000068,C000233,UNIVERSITY_END,HOLD,2017年度入部は確認したが終了時期は未確認,卒業・退部等の公式資料を確認
wave_03,B4W3I0003,P000068,C000235,CLUB_HISTORY_GAP,HOLD,B.LEAGUEプロフィールに2024-25・2025-26湘南の履歴が表示されず、2026-27のみ確認,クラブ公式の年度別契約発表を確認
wave_03,B4W3I0004,P000069,C000236,HIGH_SCHOOL_ROLE_AND_PERIOD,HOLD,専修大学公式は福岡第一高出身を示すが、高校部での役割と期間は直接示さない,高校大会公式ロスターを確認
wave_03,B4W3I0005,P000069,C000237,UNIVERSITY_END,HOLD,2017年度入部は確認したが終了時期は未確認,卒業・退部等の公式資料を確認
wave_03,B4W3I0006,P000069,C000239,TRANSFER_BOUNDARY,HOLD,2022-23途中の期限付き移籍日は未確認,福岡・山口の移籍発表日を確認
wave_03,B4W3I0007,P000014,C000240,DATE_PRECISION,HOLD,経歴は2021.01-03とするが各日付は未確認,鹿児島公式の契約・満了発表を確認
wave_03,B4W3I0008,P000014,C000241,POST_2025_AFFILIATION,HOLD,2025年契約満了後の所属は未確認,現行リーグ・クラブ公式を確認
wave_03,B4W3I0009,P000070,C000242,HIGH_SCHOOL_ROLE_AND_PERIOD,HOLD,熊本公式経歴は学校名のみで高校部の役割と期間は直接示さない,高校大会公式資料を確認
wave_03,B4W3I0010,P000070,C000243,UNIVERSITY_ROLE_AND_PERIOD,HOLD,熊本公式経歴は大学名のみで大学部の役割と期間は直接示さない,大学大会公式資料を確認
wave_03,B4W3I0011,P000070,P000070,CLUB_SUCCESSION,HOLD,三菱電機ダイヤモンドドルフィンズと名古屋ダイヤモンドドルフィンズの組織承継関係は未整理,OrganizationAlias・継承ルールで別途整理
wave_04,B4W4I0001,P000071,C000253,HIGH_SCHOOL_ROLE,HOLD,B.LEAGUE候補者経歴は学校期間を示すが、高校大会ロスターでのPlayer役割は未確認,高校大会公式ロスターを確認
wave_04,B4W4I0002,P000071,P000071,DRAFT_OUTCOME,HOLD,候補選手一覧掲載は契約・登録・出場を意味しない。公式指名結果に氏名は確認できない,クラブ契約発表・リーグ登録を継続確認
wave_04,B4W4I0003,P000071,C000254,CURRENT_UNIVERSITY_END,HOLD,候補者ページの『現在』は基準日依存で、大学Career終了日は未確認,大学または次所属の公式発表を確認
wave_04,B4W4I0004,P000072,C000255,HIGH_SCHOOL_ROLE,HOLD,B.LEAGUE候補者経歴は学校期間を示すが、高校大会ロスターでのPlayer役割は未確認,高校大会公式ロスターを確認
wave_04,B4W4I0005,P000072,P000072,DRAFT_OUTCOME,HOLD,候補選手一覧掲載は契約・登録・出場を意味しない。公式指名結果に氏名は確認できない,クラブ契約発表・リーグ登録を継続確認
wave_04,B4W4I0006,P000072,C000256,CURRENT_UNIVERSITY_END,HOLD,候補者ページの『現在』は基準日依存で、大学Career終了日は未確認,大学または次所属の公式発表を確認
