person_id,name,verified_batch,verified_commit,career_count,evidence_count,hold_issue_count,priority_reason
P000206,遠藤 祐亮,Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000207,田中 晴瑛,Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,2,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000208,市場 脩斗,Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000209,上澤 俊喜,Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000210,中村 浩陸,Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000211,小澤 飛悠,Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,2,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000212,星野 京介,Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000213,坂本 聖芽,Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000214,宇都 直輝,Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000215,張本 天傑,Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000216,中村 瀬那,Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,2,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000217,吉本 大心,Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,2,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000218,ワン ウェイジャ,Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000219,中村 拓人,Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000220,松尾 河秋,Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000221,髙岡 圭汰朗,Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000222,上田 隼輔,Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000223,笠井 康平,Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000224,若狭 功希,Batch 22 Wave 2 (尽誠学園高等学校（第2弾 学校4/12）),adf7443,2,5,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000225,熊谷 航,Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000226,久岡 幸太郎,Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000227,久岡 賢太郎,Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),adf7443,3,6,2,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000228,船生 誠也,Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000229,渡部 琉,Batch 24 Wave 1 (正智深谷高等学校（第2弾 学校6/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000230,常田 耕平,Batch 24 Wave 1 (正智深谷高等学校（第2弾 学校6/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000231,ブラ ブサナ グロリダ,Batch 25 Wave 1 (帝京長岡高等学校（第2弾 学校7/12）),adf7443,3,5,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000232,遠藤 善,Batch 25 Wave 1 (帝京長岡高等学校（第2弾 学校7/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000233,モッチ ラミン,Batch 26 Wave 1 (桜丘高等学校（第2弾 学校8/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000234,盛實 海翔,Batch 27 Wave 1 (秋田県立能代工業高等学校（第2弾 学校9/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000235,中嶋 正尭,Batch 27 Wave 2 (秋田県立能代工業高等学校（第2弾 学校9/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000236,宇都宮 陸,Batch 28 Wave 1 (報徳学園高等学校（第2弾 学校10/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000237,金友 蓮,Batch 29 Wave 1 (大阪桐蔭高等学校（第2弾 学校11/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000238,西野 曜,Batch 30 Wave 1 (近畿大学附属高等学校（第2弾 学校12/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
