verified_batches,organization_id,name
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000183,さいたまブロンコス
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000137,秋田ノーザンハピネッツ
Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000048,佐賀バルーナーズ
Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）)|Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）)|Batch 26 Wave 1 (桜丘高等学校（第2弾 学校8/12）),ORG000128,大東文化大学
Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000047,宇都宮ブレックス
Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000212,駒澤大学
Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000092,レバンガ北海道
Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）),ORG000213,中部大学第一高等学校
Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 24 Wave 1 (正智深谷高等学校（第2弾 学校6/12）),ORG000110,広島ドラゴンフライズ
Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）),ORG000109,アルバルク東京
Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 25 Wave 1 (帝京長岡高等学校（第2弾 学校7/12）),ORG000020,日本体育大学
Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),ORG000054,名古屋ダイヤモンドドルフィンズ
Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）),ORG000150,信州ブレイブウォリアーズ
Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),ORG000015,東海大学
Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),ORG000168,天理大学
Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 27 Wave 2 (秋田県立能代工業高等学校（第2弾 学校9/12）),ORG000191,ヴィアティン三重
Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 27 Wave 2 (秋田県立能代工業高等学校（第2弾 学校9/12）),ORG000214,名古屋学院大学
Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）),ORG000182,青森ワッツ
Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）),ORG000143,群馬クレインサンダーズ
Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）)|Batch 22 Wave 2 (尽誠学園高等学校（第2弾 学校4/12）),ORG000156,尽誠学園高等学校
Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）)|Batch 29 Wave 1 (大阪桐蔭高等学校（第2弾 学校11/12）),ORG000205,金沢サムライズ
Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）),ORG000148,近畿大学
Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）),ORG000111,東京八王子ビートレインズ
Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）)|Batch 28 Wave 1 (報徳学園高等学校（第2弾 学校10/12）),ORG000188,京都産業大学
Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）),ORG000155,島根スサノオマジック
Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）)|Batch 22 Wave 2 (尽誠学園高等学校（第2弾 学校4/12）),ORG000222,トライフォース岡山
Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),ORG000215,前橋育英高等学校
Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),ORG000135,長崎ヴェルカ
Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）)|Batch 24 Wave 1 (正智深谷高等学校（第2弾 学校6/12）),ORG000016,中央大学
Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),ORG000103,茨城ロボッツ
Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),ORG000173,岩手ビッグブルズ
Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),ORG000132,仙台89ERS
Batch 24 Wave 1 (正智深谷高等学校（第2弾 学校6/12）),ORG000216,正智深谷高等学校
Batch 24 Wave 1 (正智深谷高等学校（第2弾 学校6/12）)|Batch 30 Wave 1 (近畿大学附属高等学校（第2弾 学校12/12）),ORG000200,福井ブローウィンズ
Batch 25 Wave 1 (帝京長岡高等学校（第2弾 学校7/12）),ORG000217,帝京長岡高等学校
Batch 25 Wave 1 (帝京長岡高等学校（第2弾 学校7/12）),ORG000093,白鷗大学
Batch 25 Wave 1 (帝京長岡高等学校（第2弾 学校7/12）),ORG000223,東京ユナイテッドバスケットボールクラブ
Batch 25 Wave 1 (帝京長岡高等学校（第2弾 学校7/12）),ORG000101,鹿児島レブナイズ
Batch 26 Wave 1 (桜丘高等学校（第2弾 学校8/12）),ORG000161,桜丘高等学校
Batch 26 Wave 1 (桜丘高等学校（第2弾 学校8/12）),ORG000067,熊本ヴォルターズ
Batch 27 Wave 1 (秋田県立能代工業高等学校（第2弾 学校9/12）)|Batch 27 Wave 2 (秋田県立能代工業高等学校（第2弾 学校9/12）),ORG000159,秋田県立能代工業高等学校
Batch 28 Wave 1 (報徳学園高等学校（第2弾 学校10/12）),ORG000218,報徳学園高等学校
Batch 29 Wave 1 (大阪桐蔭高等学校（第2弾 学校11/12）),ORG000219,大阪桐蔭高等学校
Batch 29 Wave 1 (大阪桐蔭高等学校（第2弾 学校11/12）),ORG000193,大阪産業大学
Batch 30 Wave 1 (近畿大学附属高等学校（第2弾 学校12/12）),ORG000220,近畿大学附属高等学校
