career_id,person_id,organization_id,role,start,end
C000251,P000070,ORG000103,Head Coach,,
C000252,P000070,ORG000067,Assistant Coach,,
C000253,P000071,ORG000010,,2019,2022
C000254,P000071,ORG000019,Player,2022,
C000255,P000072,ORG000010,,2019,2022
C000256,P000072,ORG000105,Player,2022,
C000257,P000073,ORG000010,Player,2021,2024
C000258,P000073,ORG000107,Player,2024,2024
C000259,P000073,ORG000108,Player,2024,
C000260,P000073,ORG000106,Player,2024,2026
C000261,P000074,ORG000010,,,
C000262,P000074,ORG000015,Player,,
C000263,P000074,ORG000109,Player,2025,2025
C000264,P000074,ORG000048,Player,2025,2026
C000265,P000028,ORG000055,Player,2025,2025
C000266,P000028,ORG000110,Player,2025,
C000267,P000075,ORG000010,Player,,
C000269,P000075,ORG000100,Player,2025,
C000270,P000076,ORG000010,,,
C000272,P000076,ORG000111,Player,2024,
C000273,P000012,ORG000010,Player,,
C000274,P000012,ORG000015,Player,,
C000275,P000012,ORG000114,Player,2023,
C000276,P000078,ORG000010,Player,,
C000277,P000078,ORG000040,Player,2016,2018
C000278,P000079,ORG000010,Player,,
C000279,P000079,ORG000015,Player,,
C000280,P000079,ORG000115,Player,,
C000281,P000080,ORG000010,Player,,
C000282,P000080,ORG000020,Player,,
C000283,P000080,ORG000111,Player,2017,2026
C000284,P000081,ORG000010,,,
C000285,P000081,ORG000020,Player,,
C000286,P000081,ORG000046,Player,2025,2026
C000287,P000082,ORG000010,,,
C000288,P000082,ORG000015,Player,,
C000289,P000082,ORG000116,Player,2025,2026
C000390,P000111,ORG000127,Player,,
C000391,P000111,ORG000166,Player,,
C000392,P000111,ORG000132,Player,2025,
C000393,P000112,ORG000127,Player,,
C000394,P000112,ORG000031,Player,,
C000395,P000112,ORG000040,Player,2023,
C000396,P000113,ORG000127,Player,,
C000397,P000113,ORG000166,Player,,
C000398,P000113,ORG000142,Player,2025,
C000399,P000114,ORG000127,Player,,
C000400,P000114,ORG000136,Player,,
C000401,P000114,ORG000150,Player,2025,
C000402,P000115,ORG000127,Player,,
C000403,P000115,ORG000015,Player,,
C000404,P000115,ORG000153,Player,2024,
C000405,P000116,ORG000127,Player,,
C000406,P000116,ORG000121,Player,,
C000407,P000116,ORG000149,Player,2025,
C000408,P000117,ORG000127,Player,,
C000409,P000117,ORG000166,Player,,
C000410,P000117,ORG000171,Player,2024,
C000411,P000118,ORG000127,Player,,
C000412,P000118,ORG000124,Player,,
C000413,P000118,ORG000180,Player,2025,
C000414,P000119,ORG000127,Player,,
C000415,P000119,ORG000015,Player,,
C000416,P000119,ORG000116,Player,2026,
C000417,P000120,ORG000127,Player,,
C000418,P000120,ORG000015,Player,2025,2025
C000419,P000120,ORG000144,Player,2025,
C000420,P000121,ORG000127,Player,,
C000421,P000121,ORG000166,Player,,
C000422,P000121,ORG000092,Player,2025,
C000423,P000122,ORG000127,Player,,
C000424,P000122,ORG000097,Player,2024,
C000425,P000123,ORG000127,Player,,
C000426,P000123,ORG000166,Player,,
C000427,P000123,ORG000181,Player,2025,
C000428,P000124,ORG000127,Player,,
C000429,P000124,ORG000124,Player,,
C000430,P000124,ORG000180,Player,2024,
C000431,P000125,ORG000127,Player,,
C000432,P000125,ORG000166,Player,,
C000433,P000125,ORG000153,Player,2025,
C000434,P000126,ORG000127,Player,,
C000435,P000126,ORG000166,Player,,
C000436,P000126,ORG000182,Player,2025,
C000437,P000127,ORG000127,Player,,
C000438,P000127,ORG000016,Player,,
C000439,P000127,ORG000183,Player,2026,
C000440,P000128,ORG000147,Player,,
C000441,P000128,ORG000030,Player,,
C000442,P000128,ORG000155,Player,2024,
C000443,P000129,ORG000147,Player,,
C000444,P000129,ORG000015,Player,,
C000445,P000129,ORG000181,Player,2023,
C000446,P000130,ORG000147,Player,,
C000447,P000130,ORG000184,Player,,
C000448,P000130,ORG000118,Player,2024,
C000449,P000131,ORG000147,Player,,
C000450,P000131,ORG000122,Player,2024,
C000451,P000132,ORG000147,Player,,
C000452,P000132,ORG000121,Player,,
C000453,P000132,ORG000067,Player,2025,
C000454,P000133,ORG000147,Player,,
C000455,P000133,ORG000015,Player,,
C000456,P000133,ORG000043,Player,2025,
C000457,P000134,ORG000119,Player,,
C000458,P000134,ORG000166,Player,,
C000459,P000134,ORG000047,Player,2024,
C000460,P000135,ORG000119,Player,,
C000461,P000135,ORG000185,Player,,
C000462,P000135,ORG000047,Player,2016,
C000463,P000136,ORG000119,Player,,
C000464,P000136,ORG000031,Player,,
C000465,P000136,ORG000047,Player,2026,
C000466,P000137,ORG000119,Player,,
C000467,P000137,ORG000166,Player,,
C000468,P000137,ORG000180,Player,2021,
C000469,P000138,ORG000119,Player,,
C000470,P000138,ORG000136,Player,,
C000471,P000138,ORG000137,Player,2025,
C000472,P000139,ORG000119,Player,,
C000473,P000139,ORG000136,Player,,
C000474,P000139,ORG000055,Player,2020,
C000475,P000140,ORG000119,Player,,
C000476,P000140,ORG000018,Player,,
C000477,P000140,ORG000143,Player,2024,
C000478,P000141,ORG000119,Player,,
C000479,P000141,ORG000121,Player,,
C000480,P000141,ORG000155,Player,2025,
C000481,P000142,ORG000119,Player,,
C000482,P000142,ORG000186,Player,,
C000483,P000142,ORG000143,Player,2025,
C000484,P000143,ORG000119,Player,,
C000485,P000143,ORG000015,Player,,
C000486,P000143,ORG000110,Player,2021,
C000487,P000144,ORG000119,Player,,
C000488,P000144,ORG000016,Player,,
C000489,P000144,ORG000040,Player,2026,
C000490,P000145,ORG000119,Player,,
C000491,P000145,ORG000187,Player,,
C000492,P000145,ORG000090,Player,2025,
C000493,P000146,ORG000119,Player,,
C000494,P000146,ORG000188,Player,,
C000495,P000146,ORG000190,Player,2025,
C000496,P000147,ORG000119,Player,,
C000497,P000147,ORG000015,Player,,
C000498,P000147,ORG000110,Player,2025,
C000499,P000148,ORG000119,Player,,
C000500,P000148,ORG000015,Player,,
C000501,P000148,ORG000097,Player,2024,
C000502,P000149,ORG000119,Player,,
C000503,P000149,ORG000166,Player,,
C000504,P000149,ORG000047,Player,2022,
C000505,P000150,ORG000119,Player,,
C000506,P000150,ORG000030,Player,,
C000507,P000150,ORG000040,Player,2026,
C000508,P000151,ORG000119,Player,,
C000509,P000151,ORG000185,Player,,
C000510,P000151,ORG000050,Player,2026,
C000511,P000152,ORG000119,Player,,
C000512,P000152,ORG000189,Player,,
C000513,P000152,ORG000191,Player,,
C000514,P000153,ORG000192,Player,,
C000515,P000153,ORG000018,Player,,
C000516,P000153,ORG000155,Player,2024,
C000517,P000154,ORG000192,Player,,
C000518,P000154,ORG000193,Player,,
C000519,P000154,ORG000150,Player,2025,
C000520,P000155,ORG000192,Player,,
C000521,P000155,ORG000173,Player,2025,
C000522,P000156,ORG000194,Player,,
C000523,P000156,ORG000148,Player,,
C000524,P000156,ORG000100,Player,2026,
C000525,P000157,ORG000195,Player,,
C000526,P000157,ORG000168,Player,,
C000527,P000157,ORG000067,Player,2026,
C000528,P000158,ORG000195,Player,,
C000529,P000158,ORG000118,Player,2024,
C000530,P000159,ORG000195,Player,,
C000531,P000159,ORG000136,Player,,
C000532,P000159,ORG000190,Player,2025,
C000533,P000160,ORG000195,Player,,
C000534,P000160,ORG000121,Player,,
C000535,P000160,ORG000122,Player,2024,
C000536,P000161,ORG000195,Player,,
C000537,P000161,ORG000031,Player,,
C000538,P000161,ORG000155,Player,2025,
C000539,P000162,ORG000195,Player,,
C000540,P000162,ORG000136,Player,,
C000541,P000162,ORG000137,Player,2025,
C000542,P000163,ORG000195,Player,,
C000543,P000163,ORG000020,Player,,
C000544,P000163,ORG000042,Player,2025,
C000545,P000164,ORG000195,Player,,
C000546,P000164,ORG000196,Player,,
C000547,P000164,ORG000042,Player,2024,
C000548,P000165,ORG000120,Player,,
C000549,P000165,ORG000128,Player,,
C000550,P000165,ORG000047,Player,2022,
C000551,P000166,ORG000120,Player,,
C000552,P000166,ORG000030,Player,,
C000553,P000166,ORG000122,Player,2025,
C000554,P000167,ORG000120,Player,,
C000555,P000167,ORG000016,Player,,
C000556,P000167,ORG000115,Player,2025,
C000557,P000168,ORG000120,Player,,
C000558,P000168,ORG000015,Player,,
C000559,P000168,ORG000183,Player,2025,
C000560,P000169,ORG000120,Player,,
C000561,P000169,ORG000197,Player,,
C000562,P000169,ORG000122,Player,2026,
C000563,P000170,ORG000120,Player,,
C000564,P000170,ORG000198,Player,,
C000565,P000170,ORG000135,Player,2021,
C000566,P000171,ORG000120,Player,,
C000567,P000171,ORG000166,Player,,
C000568,P000171,ORG000097,Player,2026,
C000569,P000172,ORG000120,Player,,
C000570,P000172,ORG000203,Player,,
C000571,P000172,ORG000173,Player,2026,
C000572,P000173,ORG000120,Player,,
C000573,P000173,ORG000203,Player,,
C000574,P000173,ORG000182,Player,2020,
C000575,P000174,ORG000120,Player,,
C000576,P000174,ORG000199,Player,,
C000577,P000174,ORG000153,Player,2024,
C000578,P000175,ORG000120,Player,,
C000579,P000175,ORG000015,Player,,
C000580,P000175,ORG000200,Player,2026,
C000581,P000176,ORG000120,Player,,
C000582,P000176,ORG000121,Player,,
C000583,P000176,ORG000122,Player,2016,
C000584,P000177,ORG000120,Player,,
C000585,P000177,ORG000128,Player,,
C000586,P000177,ORG000050,Player,2022,
C000587,P000178,ORG000120,Player,,
C000588,P000178,ORG000121,Player,,
C000589,P000178,ORG000174,Player,2025,
C000590,P000179,ORG000120,Player,,
C000591,P000179,ORG000016,Player,,
C000592,P000179,ORG000202,Player,2025,
C000593,P000180,ORG000204,Player,,
C000594,P000180,ORG000031,Player,,
C000595,P000180,ORG000111,Player,2025,
C000596,P000181,ORG000204,Player,,
C000597,P000181,ORG000128,Player,,
C000598,P000181,ORG000092,Player,2023,
C000599,P000182,ORG000204,Player,,
C000600,P000182,ORG000031,Player,,
C000601,P000182,ORG000143,Player,2024,
C000602,P000183,ORG000204,Player,,
C000603,P000183,ORG000124,Player,,
C000604,P000183,ORG000205,Player,2025,
C000605,P000184,ORG000204,Player,,
C000606,P000184,ORG000206,Player,,
C000607,P000184,ORG000130,Player,2021,
C000608,P000185,ORG000204,Player,,
C000609,P000185,ORG000015,Player,,
C000610,P000185,ORG000103,Player,2025,
C000611,P000186,ORG000134,Player,,
C000612,P000186,ORG000121,Player,,
C000613,P000186,ORG000111,Player,2026,
C000614,P000187,ORG000134,Player,,
C000615,P000187,ORG000207,Player,,
C000616,P000187,ORG000174,Player,2024,
C000617,P000188,ORG000134,Player,,
C000618,P000188,ORG000208,Player,,
C000619,P000188,ORG000103,Player,2024,
C000620,P000189,ORG000134,Player,,
C000621,P000189,ORG000207,Player,,
C000622,P000189,ORG000050,Player,2022,
C000623,P000190,ORG000134,Player,,
C000624,P000190,ORG000121,Player,,
C000625,P000190,ORG000181,Player,2025,
C000626,P000191,ORG000134,Player,,
C000627,P000191,ORG000015,Player,,
C000628,P000191,ORG000109,Player,2018,
C000629,P000192,ORG000209,Player,,
C000630,P000192,ORG000031,Player,,
C000631,P000192,ORG000101,Player,2025,
C000632,P000193,ORG000123,Player,,
C000633,P000193,ORG000124,Player,,
C000634,P000193,ORG000180,Player,2025,
C000635,P000194,ORG000123,Player,,
C000636,P000194,ORG000030,Player,,
C000637,P000194,ORG000090,Player,2026,
C000638,P000195,ORG000123,Player,,
C000639,P000195,ORG000210,Player,,
C000640,P000195,ORG000106,Player,2025,
C000641,P000196,ORG000123,Player,,
C000642,P000196,ORG000018,Player,,
C000643,P000196,ORG000190,Player,2023,
C000644,P000197,ORG000123,Player,,
C000645,P000197,ORG000124,Player,,
C000646,P000197,ORG000055,Player,2020,
C000647,P000198,ORG000123,Player,,
C000648,P000198,ORG000136,Player,,
C000649,P000198,ORG000097,Player,2026,
C000650,P000199,ORG000123,Player,,
C000651,P000199,ORG000124,Player,,
C000652,P000199,ORG000142,Player,2025,
C000653,P000200,ORG000123,Player,,
C000654,P000200,ORG000136,Player,,
C000655,P000200,ORG000149,Player,2025,
C000656,P000201,ORG000211,Player,,
C000657,P000201,ORG000031,Player,,
C000658,P000201,ORG000130,Player,2026,
C000659,P000202,ORG000211,Player,,
C000660,P000202,ORG000121,Player,,
C000661,P000202,ORG000183,Player,2026,
C000662,P000203,ORG000211,Player,,
C000663,P000203,ORG000018,Player,,
C000664,P000203,ORG000149,Player,2021,
C000665,P000204,ORG000211,Player,,
C000666,P000204,ORG000030,Player,,
C000667,P000204,ORG000137,Player,2023,
C000668,P000205,ORG000211,Player,,
C000669,P000205,ORG000031,Player,,
C000670,P000205,ORG000048,Player,2025,
C000671,P000206,ORG000211,Player,,
C000672,P000206,ORG000128,Player,,
C000673,P000206,ORG000047,Player,2016,
C000674,P000207,ORG000211,Player,,
C000675,P000207,ORG000212,Player,,
C000676,P000207,ORG000149,Player,2024,
C000677,P000208,ORG000211,Player,,
C000678,P000208,ORG000018,Player,,
C000679,P000208,ORG000092,Player,2025,
C000680,P000209,ORG000213,Player,,
C000681,P000209,ORG000121,Player,,
C000682,P000209,ORG000110,Player,2022,
C000683,P000210,ORG000213,Player,,
C000684,P000210,ORG000128,Player,,
C000685,P000210,ORG000109,Player,2025,
C000686,P000211,ORG000213,Player,,
C000687,P000211,ORG000020,Player,,
C000688,P000211,ORG000054,Player,2025,
C000689,P000212,ORG000213,Player,,
C000690,P000212,ORG000128,Player,,
C000691,P000212,ORG000150,Player,2026,
C000692,P000213,ORG000213,Player,,
C000693,P000213,ORG000015,Player,,
C000694,P000213,ORG000142,Player,2025,
C000695,P000214,ORG000213,Player,,
C000696,P000214,ORG000018,Player,,
C000697,P000214,ORG000149,Player,2023,
C000698,P000215,ORG000213,Player,,
C000699,P000215,ORG000030,Player,,
C000700,P000215,ORG000054,Player,2016,
C000701,P000216,ORG000213,Player,,
C000702,P000216,ORG000168,Player,,
C000703,P000216,ORG000191,Player,2026,
C000704,P000217,ORG000213,Player,,
C000705,P000217,ORG000031,Player,,
C000706,P000217,ORG000191,Player,2026,
C000707,P000218,ORG000213,Player,,
C000708,P000218,ORG000214,Player,,
C000709,P000218,ORG000182,Player,2025,
C000710,P000219,ORG000213,Player,,
C000711,P000219,ORG000128,Player,,
C000712,P000219,ORG000143,Player,2025,
C000713,P000220,ORG000156,Player,,
C000714,P000220,ORG000128,Player,,
C000715,P000220,ORG000205,Player,2026,
C000716,P000221,ORG000156,Player,,
C000717,P000221,ORG000148,Player,,
C000718,P000221,ORG000111,Player,2026,
C000719,P000222,ORG000156,Player,,
C000720,P000222,ORG000188,Player,,
C000721,P000222,ORG000155,Player,2025,
C000722,P000223,ORG000156,Player,,
C000723,P000223,ORG000030,Player,,
C000724,P000223,ORG000222,Player,2026,
C000725,P000224,ORG000156,Player,,
C000726,P000224,ORG000222,Player,2025,
C000727,P000225,ORG000215,Player,,
C000728,P000225,ORG000128,Player,,
C000729,P000225,ORG000135,Player,2025,
C000730,P000226,ORG000215,Player,,
C000731,P000226,ORG000016,Player,,
C000732,P000226,ORG000103,Player,2023,
C000733,P000227,ORG000215,Player,,
C000734,P000227,ORG000016,Player,,
C000735,P000227,ORG000173,Player,2026,
C000736,P000228,ORG000215,Player,,
C000737,P000228,ORG000030,Player,,
C000738,P000228,ORG000132,Player,2025,
C000739,P000229,ORG000216,Player,,
C000740,P000229,ORG000016,Player,,
C000741,P000229,ORG000110,Player,2024,
C000742,P000230,ORG000216,Player,,
C000743,P000230,ORG000124,Player,,
C000744,P000230,ORG000200,Player,2026,
C000745,P000231,ORG000217,Player,,
C000746,P000231,ORG000223,Player,2022,
C000747,P000232,ORG000217,Player,,
C000748,P000232,ORG000020,Player,,
C000749,P000232,ORG000101,Player,2025,
C000750,P000233,ORG000161,Player,,
C000751,P000233,ORG000128,Player,,
C000752,P000233,ORG000067,Player,2025,
C000753,P000234,ORG000159,Player,,
C000754,P000234,ORG000018,Player,,
C000755,P000234,ORG000149,Player,2026,
C000756,P000235,ORG000159,Player,,
C000757,P000235,ORG000214,Player,,
C000758,P000235,ORG000191,Player,2026,
C000759,P000236,ORG000218,Player,,
C000760,P000236,ORG000188,Player,,
C000761,P000236,ORG000180,Player,2024,
C000762,P000237,ORG000219,Player,,
C000763,P000237,ORG000193,Player,,
C000764,P000237,ORG000205,Player,2026,
C000765,P000238,ORG000220,Player,,
C000766,P000238,ORG000018,Player,,
C000767,P000238,ORG000200,Player,2024,
C000768,P000231,ORG000093,Player,,
