issue_id,person_id,related_id,issue_type,status,description,next_check
B2I0011,P000039,C000058,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id|role|grade|position|height_cm。未確認項目はstart|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0012,P000039,P000039,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は専修大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0013,P000043,C000062,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id|role|grade|position|height_cm。未確認項目はstart|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0014,P000043,P000043,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は東海大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0015,P000035,C000054,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id|role|jersey_number|height_cm。未確認項目はstart|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0016,P000035,P000035,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は日本体育大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0017,P000040,C000059,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id|role|jersey_number|height_cm。未確認項目はstart|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0018,P000040,P000040,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は拓殖大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0019,P000036,C000055,HIGH_SCHOOL_EVIDENCE,HOLD,確認済み項目はorganization_id。未確認項目はrole|start|end,高校の入学・卒業または大会登録期間を示す公式資料を確認
B2I0020,P000036,P000036,EDUCATION_DISPLAY_ONLY,RESOLVED,B.LEAGUEの出身校表示は日本体育大学だが競技Careerと期間は未確認,個別Careerと公式資料へ置換済み
B2I0021,P000038,C000070,CAREER_PERIOD_OR_ABSENCE,HOLD,中央大学は2020年1年・2023年4年を確認したが終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0022,P000037,C000069,CAREER_PERIOD_OR_ABSENCE,HOLD,青山学院大学2年時の所属を確認したが開始・終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0023,P000041,C000073,CAREER_PERIOD_OR_ABSENCE,HOLD,東海大学3年時の所属を確認したが開始・終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0024,P000042,C000074,CAREER_PERIOD_OR_ABSENCE,HOLD,2009年7月のプロ入りは確認したが、その後を含む大学Career不存在の包括的証明ではない,期間を直接示す公式資料がある場合のみ更新
B2I0025,P000039,C000071,CAREER_PERIOD_OR_ABSENCE,HOLD,専修大学3・4年時の所属を確認したが開始・終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0026,P000043,C000075,CAREER_PERIOD_OR_ABSENCE,HOLD,東海大学1・4年時の所属を確認したが終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0027,P000040,C000072,CAREER_PERIOD_OR_ABSENCE,HOLD,拓殖大学2・3年時の所属を確認したが開始・終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0028,P000036,C000068,CAREER_PERIOD_OR_ABSENCE,HOLD,日本体育大学1・4年時の所属を確認したが終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0029,P000063,C000076,CAREER_PERIOD_OR_ABSENCE,HOLD,日本経済大学3・4年時の競技参加を確認したが開始・終了年月は未確認,期間を直接示す公式資料がある場合のみ更新
B2I0030,P000043,C000145|C000212,CURRENT_CLUB_CONFLICT,RESOLVED,Excel原本C000145の2026-27滋賀所属はB.LEAGUEとレバンガ北海道の公式発表に一致しないため不採用,候補側はC000212として2026年レバンガ北海道加入を保持
