verified_batches,organization_id,name
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 14 Wave 1 (北陸高等学校（学校7/11）),ORG000030,青山学院大学
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 11 Wave 1 (開志国際高等学校（学校4/11）)|Batch 13 Wave 2 (東山高等学校（学校6/11）),ORG000155,島根スサノオマジック
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),ORG000184,ステッソン大学
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 13 Wave 1 (東山高等学校（学校6/11）),ORG000118,千葉ジェッツ
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 13 Wave 1 (東山高等学校（学校6/11）)|Batch 14 Wave 1 (北陸高等学校（学校7/11）)|Batch 14 Wave 2 (北陸高等学校（学校7/11）)|Batch 14 Wave 3 (北陸高等学校（学校7/11）),ORG000122,川崎ブレイブサンダース
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）)|Batch 13 Wave 1 (東山高等学校（学校6/11）),ORG000067,熊本ヴォルターズ
Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),ORG000043,神戸ストークス
Batch 10 Wave 1 (洛南高等学校（学校3/11）)|Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 10 Wave 4 (洛南高等学校（学校3/11）),ORG000119,洛南高等学校
Batch 10 Wave 1 (洛南高等学校（学校3/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 14 Wave 1 (北陸高等学校（学校7/11）),ORG000047,宇都宮ブレックス
Batch 10 Wave 1 (洛南高等学校（学校3/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）),ORG000185,慶應義塾大学
Batch 10 Wave 1 (洛南高等学校（学校3/11）)|Batch 13 Wave 2 (東山高等学校（学校6/11）),ORG000137,秋田ノーザンハピネッツ
Batch 10 Wave 1 (洛南高等学校（学校3/11）),ORG000055,横浜ビー・コルセアーズ
Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 11 Wave 1 (開志国際高等学校（学校4/11）),ORG000018,専修大学
Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),ORG000143,群馬クレインサンダーズ
Batch 10 Wave 2 (洛南高等学校（学校3/11）),ORG000186,サウスイースタン・オクラホマ州立大学
Batch 10 Wave 2 (洛南高等学校（学校3/11）)|Batch 10 Wave 3 (洛南高等学校（学校3/11）),ORG000110,広島ドラゴンフライズ
Batch 10 Wave 2 (洛南高等学校（学校3/11）),ORG000187,ブルーフィールド州立大学
Batch 10 Wave 2 (洛南高等学校（学校3/11）),ORG000090,横浜エクセレンス
Batch 10 Wave 3 (洛南高等学校（学校3/11）),ORG000188,京都産業大学
Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 13 Wave 1 (東山高等学校（学校6/11）),ORG000190,越谷アルファーズ
Batch 10 Wave 3 (洛南高等学校（学校3/11）)|Batch 14 Wave 4 (北陸高等学校（学校7/11）)|Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),ORG000050,ウォルガ湘南
Batch 10 Wave 4 (洛南高等学校（学校3/11）),ORG000189,中京大学
Batch 10 Wave 4 (洛南高等学校（学校3/11）),ORG000191,ヴィアティン三重
Batch 11 Wave 1 (開志国際高等学校（学校4/11）),ORG000192,開志国際高等学校
Batch 11 Wave 1 (開志国際高等学校（学校4/11）),ORG000193,大阪産業大学
Batch 11 Wave 1 (開志国際高等学校（学校4/11）)|Batch 14 Wave 2 (北陸高等学校（学校7/11）),ORG000173,岩手ビッグブルズ
Batch 12 Wave 1 (延岡学園高等学校（学校5/11）),ORG000194,延岡学園高等学校
Batch 12 Wave 1 (延岡学園高等学校（学校5/11）),ORG000148,近畿大学
Batch 12 Wave 1 (延岡学園高等学校（学校5/11）),ORG000100,山口パッツファイブ
Batch 13 Wave 1 (東山高等学校（学校6/11）)|Batch 13 Wave 2 (東山高等学校（学校6/11）),ORG000195,東山高等学校
Batch 13 Wave 1 (東山高等学校（学校6/11）),ORG000168,天理大学
Batch 13 Wave 2 (東山高等学校（学校6/11）),ORG000020,日本体育大学
Batch 13 Wave 2 (東山高等学校（学校6/11）),ORG000042,京都ハンナリーズ
Batch 13 Wave 2 (東山高等学校（学校6/11）),ORG000196,関西学院大学
Batch 14 Wave 1 (北陸高等学校（学校7/11）)|Batch 14 Wave 2 (北陸高等学校（学校7/11）)|Batch 14 Wave 3 (北陸高等学校（学校7/11）)|Batch 14 Wave 4 (北陸高等学校（学校7/11）),ORG000120,北陸高等学校
Batch 14 Wave 1 (北陸高等学校（学校7/11）)|Batch 14 Wave 4 (北陸高等学校（学校7/11）)|Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),ORG000128,大東文化大学
Batch 14 Wave 1 (北陸高等学校（学校7/11）),ORG000115,立川ダイス
Batch 14 Wave 2 (北陸高等学校（学校7/11）),ORG000197,富山大学
Batch 14 Wave 2 (北陸高等学校（学校7/11）),ORG000198,名古屋経済大学
Batch 14 Wave 2 (北陸高等学校（学校7/11）),ORG000135,長崎ヴェルカ
Batch 14 Wave 2 (北陸高等学校（学校7/11）)|Batch 14 Wave 3 (北陸高等学校（学校7/11）),ORG000203,国士舘大学
Batch 14 Wave 3 (北陸高等学校（学校7/11）),ORG000199,明星大学
Batch 14 Wave 3 (北陸高等学校（学校7/11）),ORG000200,福井ブローウィンズ
Batch 14 Wave 4 (北陸高等学校（学校7/11）)|Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),ORG000174,しながわシティバスケットボールクラブ
Batch 14 Wave 4 (北陸高等学校（学校7/11）),ORG000202,福島ファイヤーボンズ
Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）)|Batch 15 Wave 2 (藤枝明誠高等学校（学校8/11）),ORG000204,藤枝明誠高等学校
Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）)|Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),ORG000111,東京八王子ビートレインズ
Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),ORG000205,金沢サムライズ
Batch 15 Wave 2 (藤枝明誠高等学校（学校8/11）),ORG000206,サザンニューハンプシャー大学
Batch 15 Wave 2 (藤枝明誠高等学校（学校8/11）),ORG000130,シーホース三河
Batch 15 Wave 2 (藤枝明誠高等学校（学校8/11）)|Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),ORG000103,茨城ロボッツ
Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）)|Batch 17 Wave 2 (土浦日本大学高等学校（学校10/11）),ORG000134,土浦日本大学高等学校
Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),ORG000207,法政大学
Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),ORG000208,白鴎大学
Batch 17 Wave 2 (土浦日本大学高等学校（学校10/11）),ORG000109,アルバルク東京
Batch 18 Wave 1 (八王子学園八王子高等学校（学校11/11）),ORG000209,八王子学園八王子高等学校
Batch 18 Wave 1 (八王子学園八王子高等学校（学校11/11）),ORG000101,鹿児島レブナイズ
